step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
13473,train_episode,56,1.0,1.0,-0.1487041393877011,nan,142,0.0741103432652816,0.3762035603097207,3.709552764892578,72.57555389404297,0.0,0.10000000149011612,17.6726016998291
13641,train_episode,57,1.0,1.0,0.33761151907034226,nan,168,0.0781640940611916,0.1656708768125446,10.054100036621094,73.68728637695312,0.0,0.10000000149011612,17.521284103393555
13802,train_episode,58,1.0,1.0,-0.34046411390416376,nan,161,0.07738922034268794,0.3856051260640162,6.063408374786377,73.62261962890625,0.0,0.10000000149011612,17.615276336669922
13953,train_episode,59,1.0,1.0,-0.5481353100249546,nan,151,0.07782092443759868,0.4815231209855206,6.689208507537842,74.10812377929688,0.0,0.10000000149011612,17.61026382446289
14141,train_episode,60,1.0,1.0,-1.0888438269169995,nan,188,0.0776821971930405,0.5246040376220295,5.179132461547852,75.29167175292969,0.0,0.10000000149011612,17.734045028686523
14272,train_episode,61,1.0,1.0,0.15029527492588346,nan,131,0.07699577228827331,0.29376629526719794,3.5413475036621094,74.396484375,0.0,0.10000000149011612,17.83013916015625
14394,train_episode,62,1.0,1.0,0.00650268393219422,nan,122,0.07642145949553271,0.3770316700588484,51.001617431640625,77.12986755371094,0.0,0.10000000149011612,17.602577209472656
14794,train_episode,63,0.0,0.0,-2.9806495435652307,nan,400,0.08287445087917149,0.33733267509378495,19.192852020263672,75.10847473144531,0.0,0.10000000149011612,17.687477111816406
15194,train_episode,64,0.0,0.0,-2.2494328102748837,nan,400,0.08058295281603932,0.24792954804375766,3.6320607662200928,80.1257095336914,0.0,0.10000000149011612,17.76629638671875
15336,train_episode,65,1.0,1.0,-0.10673575795721324,nan,142,0.07706498756060298,0.3591946784511838,5.489480495452881,80.47848510742188,0.0,0.10000000149011612,17.897418975830078
15736,train_episode,66,0.0,0.0,-2.491622014761669,nan,400,0.08022033608984203,0.27849819991737607,5.297276020050049,79.01507568359375,0.0,0.10000000149011612,17.905113220214844
15868,train_episode,67,1.0,1.0,-0.010668084844946524,nan,132,0.07386523919800918,0.3545698831422311,9.76732063293457,80.6058349609375,0.0,0.10000000149011612,17.661373138427734
16268,train_episode,68,0.0,0.0,-4.699086376224877,nan,400,0.07532523207832127,0.5581741867307574,17.505329132080078,81.37387084960938,0.0,0.10000000149011612,18.065166473388672
16416,train_episode,69,1.0,1.0,-0.27921323321759683,nan,148,0.07192297810940323,0.40537933061352455,4.928390026092529,78.44209289550781,0.0,0.10000000149011612,17.748180389404297
16660,train_episode,70,1.0,1.0,-0.3476247118250463,nan,244,0.07801194995885989,0.2449661567501846,4.52943229675293,81.45692443847656,0.0,0.10000000149011612,17.84560775756836
16808,train_episode,71,1.0,1.0,0.12353404563851689,nan,148,0.07596742560633936,0.2662866628552611,11.507665634155273,83.12726593017578,0.0,0.10000000149011612,17.90894317626953
17208,train_episode,72,0.0,0.0,-2.250844720508902,nan,400,0.07732365885283798,0.2506424144655466,11.047343254089355,84.780517578125,0.0,0.10000000149011612,17.802730560302734
17370,train_episode,73,1.0,1.0,-0.08318043295992616,nan,162,0.07556523844875672,0.3049445859168047,7.819018363952637,85.60103607177734,0.0,0.10000000149011612,17.527780532836914
17770,train_episode,74,0.0,0.0,-2.6134423588379296,nan,400,0.07560140342451632,0.2971613674145192,5.490548610687256,82.05351257324219,0.0,0.10000000149011612,18.128395080566406
18170,train_episode,75,0.0,0.0,-2.7737616727012204,nan,400,0.07426572614349425,0.3181774280499667,6.57493782043457,87.37913513183594,0.0,0.10000000149011612,17.500972747802734
18302,train_episode,76,1.0,1.0,0.22973412825725947,nan,132,0.07823465792744448,0.26028269289456535,12.549705505371094,86.37263488769531,0.0,0.10000000149011612,17.875415802001953
18702,train_episode,77,0.0,0.0,-4.449001417909748,nan,400,0.08174134505912661,0.5217676690686495,9.652618408203125,87.90211486816406,0.0,0.10000000149011612,18.075206756591797
18922,train_episode,78,1.0,1.0,-2.074265598357888,nan,220,0.07772749397395687,0.6676711794327606,7.578282356262207,86.55125427246094,0.0,0.10000000149011612,18.420513153076172
19322,train_episode,79,0.0,0.0,-3.434443746015895,nan,400,0.07706276916898787,0.39883489759638907,18.45559310913086,88.26368713378906,0.0,0.10000000149011612,18.196096420288086
19473,train_episode,80,1.0,1.0,0.3106344624375922,nan,151,0.08140627867141306,0.19409313738740833,7.144257545471191,89.42201232910156,0.0,0.10000000149011612,18.16114616394043
19614,train_episode,81,1.0,1.0,0.15311433762311966,nan,141,0.07956745488740874,0.267809289091445,6.258950233459473,89.77903747558594,0.0,0.10000000149011612,18.054161071777344
19762,train_episode,82,1.0,1.0,-0.4990162789495657,nan,148,0.07678525472009504,0.4760923531862932,17.60692024230957,89.68507385253906,0.0,0.10000000149011612,17.815866470336914
19894,train_episode,83,1.0,1.0,0.16730052313301713,nan,132,0.07901854245838794,0.28346406386205647,6.442085266113281,86.98184204101562,0.0,0.10000000149011612,18.29392433166504
20014,train_episode,84,1.0,1.0,0.12339453128399303,nan,120,0.0753327858944734,0.33581487350165845,6.337881088256836,89.78954315185547,0.0,0.10000000149011612,18.040111541748047
20213,train_episode,85,1.0,1.0,0.016702046303544216,nan,199,0.07876094735821887,0.21507608624708713,6.102022171020508,90.11801147460938,0.0,0.10000000149011612,18.12325668334961
20613,train_episode,86,0.0,0.0,-2.810363877334165,nan,400,0.07640690855681896,0.3213001265004277,11.457544326782227,91.18672180175781,0.0,0.10000000149011612,18.091014862060547
20771,train_episode,87,1.0,1.0,0.07696412824094334,nan,158,0.07867412594488904,0.2600386240578528,7.747382164001465,92.30586242675781,0.0,0.10000000149011612,18.09020233154297
21171,train_episode,88,0.0,0.0,-1.9186682595987798,nan,400,0.07728042596951128,0.20917494036257267,7.02413272857666,95.13214111328125,0.0,0.10000000149011612,18.082874298095703
21294,train_episode,89,1.0,1.0,-0.03763468219200161,nan,123,0.07318588640025961,0.3941130496682675,3.8028249740600586,96.77916717529297,0.0,0.10000000149011612,18.17948341369629
21414,train_episode,90,1.0,1.0,0.11481458636233588,nan,120,0.07371551906690002,0.3407467077796658,4.038918495178223,93.83888244628906,0.0,0.10000000149011612,17.882946014404297
21598,train_episode,91,1.0,1.0,-0.22981736882589754,nan,184,0.07805058716431908,0.3028841752599439,6.002264022827148,93.8682632446289,0.0,0.10000000149011612,17.904373168945312
21721,train_episode,92,1.0,1.0,0.3259684996178841,nan,123,0.07440388196609854,0.2454402330142211,5.7229204177856445,96.25090789794922,0.0,0.10000000149011612,17.912540435791016
22121,train_episode,93,0.0,0.0,-4.150230918384622,nan,400,0.07754377347417175,0.48788163762539627,9.948822021484375,93.3010482788086,0.0,0.10000000149011612,18.195850372314453
22240,train_episode,94,1.0,1.0,0.057379323607310906,nan,119,0.08130361139774323,0.3621430723857479,13.069610595703125,96.88363647460938,0.0,0.10000000149011612,18.033504486083984
22416,train_episode,95,1.0,1.0,-0.5996014100639148,nan,176,0.0752508008048277,0.4253490445500409,6.019169807434082,95.34098052978516,0.0,0.10000000149011612,18.070594787597656
